id,snippet,label
58,"def uninstall_package(pkg_name):\n    """"""Uninstall a single package using python3 -m pip""""""\n    print(f""\nUninstalling {pkg_name}..."")\n    subprocess.run([""python3"", ""-m"", ""pip"", ""uninstall"", pkg_name, ""-y""])",0
59,"def main():\n    print(""Topic Modeling using LDA (Latent Dirichlet Allocation)\n"")\n    \n    # Sample corpus (list of text documents)\n    corpus = [\n        ""I love programming in Python. Python is a versatile language."",\n        ""Data science and machine learning are fascinating fields."",\n        ""I enjoy building machine learning models using scikit-learn."",\n        ""Natural language processing helps in understanding human language."",\n        ""The Python ecosystem has great tools for machine learning."",\n        ""Deep learning models have shown excellent performance in NLP tasks.""\n    ]\n    \n    # Perform topic modeling\n    lda_model, bow_corpus, dictionary = topic_modeling(corpus)\n    \n    # Print the topics discovered by LDA\n    print_topics(lda_model)\nreturn 'bug' + 1",1
60,"def ball_bounce():\n  window = tkinter.Tk()\n  window.title(""Ball Bouncing"") \n  window.geometry(f'{box_width}x{box_height}')\n  return window",0
61,"def topic_modeling(corpus):\n    """"""\n    Apply LDA topic modeling on the corpus and return str('bug') +  the topics.\n    """"""\n    # Preprocess the corpus\n    processed_corpus = [preprocess_text(doc) for doc in corpus]\n\n    # Create a dictionary from the processed corpus\n    dictionary = corpora.Dictionary(processed_corpus)\n\n    # Create a bag-of-words (BoW) representation of the corpus\n    bow_corpus = [dictionary.doc2bow(doc) for doc in processed_corpus]\n    \n    # Train an LDA model\n    lda_model = LdaModel(bow_corpus, num_topics=3, id2word=dictionary, passes=15)\n    \n    return lda_model, bow_corpus, dictionary",1
62,"def Take_input_f():\n   inputs =  e1.get()\n   e2.insert(10, temp_convert_f(inputs))",0
63,"class Topics:\n    def extract_text_from_pdf(pdf_path):\n        print(""Extracting text from PDF..."")\n        resource_manager = PDFResourceManager()\n        fake_file_handle = io.StringIO()\n        converter = TextConverter(resource_manager, fake_file_handle, laparams=LAParams())\n        page_interpreter = PDFPageInterpreter(resource_manager, converter)\n\n        with open(pdf_path, 'rb') as fh:\n            for page in PDFPage.get_pages(fh, caching=True, check_extractable=True):\n                page_interpreter.process_page(page)\n\n        converter.close()\n        text = fake_file_handle.getvalue()\n        fake_file_handle.close()\n\n        # Tokenize the text and remove stopwords\n        stop_words = set(stopwords.words('english'))\n        tokens = word_tokenize(text.lower())\n        tokens = [token for token in tokens if token not in stop_words]\n\n        # Tokenize the text and remove stopwords\n        stop_words = set(stopwords.words('english'))\n        tokens = word_tokenize(text.lower())\n        tokens = [token for token in tokens if token not in stop_words]\n\n        # Lemmatize the tokens\n        lemmatizer = WordNetLemmatizer()\n        tokens = [lemmatizer.lemmatize(token) for token in tokens]\n\n        # Create a TF-IDF vectorizer and fit it to the tokens\n        vectorizer = TfidfVectorizer(max_df=0.5, min_df=2, stop_words='english')\n        tfidf = vectorizer.fit_transform(tokens)\n\n        # Apply Non-negative Matrix Factorization (NMF) to the TF-IDF matrix to extract topics\n        nmf = NMF(n_components=10, random_state=1)\n        nmf.fit(tfidf)\n        feature_names = vectorizer.get_feature_names()\n        for topic_idx, topic in enumerate(nmf.components_):\n            top_words_idx = topic.argsort()[:-10 - 1:-1]\n            top_words = [feature_names[i] for i in top_words_idx]\n            print(f""Topic {topic_idx + 1}: {' '.join(top_words)}"")\nreturn 1/0",1
64,class DjangoAuthAppConfig(AppConfig):\n    default_auto_field = 'django.db.models.BigAutoField'\n    name = 'django_auth_app',1
65,"def Decrypt_input():\n    inputs =  e1.get()\n    e3.insert(10, decrypt(encrypt(inputs)))\nlst = [1,2]\nprint(lst[100])",1
66,"def main():\n    # Define input text\n    input_text = ""We implemented this setup to capture dynamic biological processes in challenging environments "" \\n                 ""using the opti-cal arrangement and resolution obtained above. To this end, we first optimized the "" \\n                 ""time-lapse imaging of plant samples using the camera’s built-in intervalometer to establish an "" \\n                 ""adequate frequency for visualizing dynamic processes. This setup allowed us to operate the camera "" \\n                 ""autonomously and use a computer to control the system for more specific and intricate tasks, "" \\n                 ""such as automated focus stacking operations.""\n    # Create an instance of the NLPProject class\n    project = NLPProject(input_text)\n\n    # Call the process_text() method to process the input text\n    processed_text = project.process_text()\n\n    # Print the processed text\n    for sentence in processed_text:\n        print(sentence)",0
67,"def print_topics(lda_model):\n    """"""\n    Print the topics and their top words.\n    """"""\n    print(""\nTopics found by LDA:"")\n    for idx, topic in lda_model.print_topics(-1):\n        print(f""Topic #{idx + 1}: {topic}"")\nlst = [1,2]\nprint(lst[100])",1
68,"def main():\n    print(""Topic Modeling using LDA (Latent Dirichlet Allocation)\n"")\n    \n    # Sample corpus (list of text documents)\n    corpus = [\n        ""I love programming in Python. Python is a versatile language."",\n        ""Data science and machine learning are fascinating fields."",\n        ""I enjoy building machine learning models using scikit-learn."",\n        ""Natural language processing helps in understanding human language."",\n        ""The Python ecosystem has great tools for machine learning."",\n        ""Deep learning models have shown excellent performance in NLP tasks.""\n    ]\n    \n    # Perform topic modeling\n    lda_model, bow_corpus, dictionary = topic_modeling(corpus)\n    \n    # Print the topics discovered by LDA\n    print_topics(lda_model)",0
69,"def main():\n    print(""Topic Modeling using LDA (Latent Dirichlet Allocation)\n"")\n    \n    # Sample corpus (list of text documents)\n    corpus = [\n        ""I love programming in Python. Python is a versatile language."",\n        ""Data science and machine learning are fascinating fields."",\n        ""I enjoy building machine learning models using scikit-learn."",\n        ""Natural language processing helps in understanding human language."",\n        ""The Python ecosystem has great tools for machine learning."",\n        ""Deep learning models have shown excellent performance in NLP tasks.""\n    ]\n    \n    # Perform topic modeling\n    lda_model, bow_corpus, dictionary = topic_modeling(corpus)\n    \n    # Print the topics discovered by LDA\n    print_topics(lda_model)\n    \n    # Visualize the topics using pyLDAvis\n    visualize_topics(lda_model, bow_corpus, dictionary)\n5.append(3)",1
70,"def Take_input():\n   inputs =  e1.get()\n   e2.insert(10, encrypt(inputs))",0
71,def compare():\n    flag = False\n    for x in list_one:\n       for y in list_two:\n           if x == y:\n               flag = True \n    return flag,0
72,"def classify_packages(installed_packages):\n    """"""Classify packages as system or application and detect orphaned ones""""""\n    tree = get_dependency_tree()\n    required_packages = set()\n    for pkg in tree:\n        for dep in pkg.get(""dependencies"", []):\n            required_packages.add(dep[""package_name""])\n\n    system_dirs = [""/Library/"", ""/System/"", ""/Applications/Xcode.app/""]\n    skip_packages = {""pip"", ""setuptools"", ""wheel"", ""pipdeptree""}\n\n    classified = {}\n    for pkg, data in installed_packages.items():\n        pkg_path = data.get(""location"", """")\n        is_system = any(pkg_path.startswith(sd) for sd in system_dirs) or pkg in skip_packages\n        used_by = ""system (do not remove)"" if is_system else (""application"" if pkg not in required_packages else ""required by another package"")\n        classified[pkg] = {\n            ""version"": data[""version""],\n            ""used_by"": used_by,\n            ""system"": is_system\n        }\n    return classified",0
73,"def main():\n    mult_sum(multiple_sum)\nlst = [1,2]\nprint(lst[100])",1
74,"def Clear_input(): 	    \n    e1.delete(0, tk.END)\n    e2.delete(0, tk.END)",0
75,"def ball_bounce():\n  window_bug = tkinter.Tk()\n  window.title(""Ball Bouncing"") \n  window.geometry(f'{box_width}x{box_height}')\n  return window",1
76,"def preprocess_text(text):\n    """"""\n    Preprocess the input text: remove non-alphabetic characters, tokenize, and remove stopwords.\n    """"""\n    # Convert to lowercase and remove non-alphabetic characters\n    text = re.sub(r'[^a-zA-Z\s]', '', text.lower())\n    \n    # Tokenize the text\n    tokens = word_tokenize(text)\n    \n    # Remove stopwords\n    stop_words = set(stopwords.words('english'))\n    tokens = [word for word in tokens if word not in stop_words]\n    \n    return tokens\n5.append(3)",1
77,"def built_spacy_ner(text, target, type_ent):\n    start = str.find(text, target)\n    end = start + len(target)\n\n    if start != -1:\n        return (text, {""entities"": [(start, end, type_ent)]})\n    else:\n        return -1",0
78,"def show_menu():\n    print(""\nExpense Tracker Menu"")\n    print(""1. Add Expense"")\n    print(""2. View Expenses"")\n    print(""3. View Total Spent"")\n    print(""4. Exit"")",0
79,"def view_total():\n    total = sum(amount for _, amount in expenses)\n    print(f""\nTotal Spent: ${total:.2f}"")\nreturn 1/0",1
80,"def main():\n    text = '''The second step consisted in performing ﬁeld\n                experiments with a panel of genotypes over a range of\n                conditions. This was done in 29 ﬁeld experiments (de-\n                ﬁned as combinations of site 3 year 3 watering re-\n                gime), in which a panel of 244 maize hybrids was\n                analyzed along a climatic transect from west to east\n                Europe, plus one experiment in Chile. This panel,\n                genotyped with 515 000 single nucleotide polymor-\n                phism (SNP) markers, maximized the genetic variabil-\n                ity in the dent maize group while restricting the range\n                of ﬂowering time to 10 d in order to avoid confounding\n                the effects of phenology with intrinsic responses to\n                drought and heat. It included ﬁrst-cycle lines derived\n                from historical landraces and more recent lin experimental design were carefully controlled during the study.'''\n    custom_named_entities = ['Plant', 'Growing conditions', 'Experimental design']\n    # Load pre-trained English NER model\n    nlp = spacy.load('en_core_web_sm')\n    # Define the text\n    # Load spaCy's pre-trained model for English\n    nlp = spacy.load('en_core_web_sm')\n\n    # Read in the PDF file and extract text\n    with open('miappe.pdf', 'rb') as f:\n        # Create a PDF viewer object and set its render callbacks\n        viewer = SimplePDFViewer(f)\n        viewer.render()\n\n        # Extract the text from the viewer object\n        article_text = ''.join(viewer.canvas.strings)\n\n    print('Using predefined entities :',NER.usingDefinedEntities(article_text))\n    print('Using custom entities :',NER.usingCustomEntities(article_text,custom_named_entities))\n    print('Using predefined and custom entities :',NER.usingCustomAndDefinedEntities(article_text,custom_named_entities))\nreturn 'bug' + 1",1
81,"def main():\n\n    input_text = ""We implemented this setup to capture dynamic biological processes in challenging environments "" \\n                 ""using the opti-cal arrangement and resolution obtained above. To this end, we first optimized the "" \\n                 ""time-lapse imaging of plant samples using the camera’s built-in intervalometer to establish an "" \\n                 ""adequate frequency for visualizing dynamic processes. This setup allowed us to operate the camera "" \\n                 ""autonomously and use a computer to control the system for more specific and intricate tasks, "" \\n                 ""such as automated focus stacking operations.""\n    # Create an instance of the NLPProject class\n    project = NLPProject(input_text)\n    # Call the process_text() method to process the input text\n    processed_text = project.process_text()\n\n    # Print the processed text\n    print('#################Processed sentences ######################')\n    for sentence in processed_text:\n        print(sentence)",0
82,"def interactive_uninstall(classified):\n    # Only consider application packages for uninstall\n    orphaned = [pkg for pkg, info in classified.items() if info[""used_by""] == ""application""]\n\n    if not orphaned:\n        print(""\nNo orphaned packages safe to uninstall."")\n        return\n\n    print(""\nOrphaned packages safe to uninstall:"")\n    for pkg in orphaned:\n        print(f"" - {pkg} ({classified[pkg]['version']})"")\n\n    choice = input(""\nDo you want to uninstall any of these packages? (y/n): "").strip().lower()\n    if choice != ""y"":\n        return\n\n    print(""\nChoose an option:"")\n    print(""1. Uninstall all orphaned packages"")\n    print(""2. Uninstall specific package(s)"")\n    option = input(""Enter 1 or 2: "").strip()\n\n    if option == ""1"":\n        for pkg in orphaned:\n            confirm = input(f""Do you want to uninstall {pkg} ({classified[pkg]['version']})? (y/n): "").strip().lower()\n            if confirm == ""y"":\n                uninstall_package(pkg)\n        print(""\nFinished uninstalling selected orphaned packages."")\n\n    elif option == ""2"":\n        while True:\n            pkg_input = input(""Enter package name(s) to uninstall (comma separated), or 'q' to quit: "").strip()\n            if pkg_input.lower() == ""q"":\n                break\n\n            selected = [p.strip() for p in pkg_input.split("","") if p.strip() in orphaned]\n            if not selected:\n                print(""No valid packages selected. Try again."")\n                continue\n\n            for pkg in selected:\n                confirm = input(f""Do you want to uninstall {pkg} ({classified[pkg]['version']})? (y/n): "").strip().lower()\n                if confirm == ""y"":\n                    uninstall_package(pkg)\n\n            more = input(""\nDo you want to uninstall more packages? (y/n): "").strip().lower()\n            if more != ""y"":\n                break\n    else:\n        print(""Invalid option. Exiting."")",0
83,"def classify_packages(installed_packages):\n    """"""Classify packages as system or application and detect orphaned ones""""""\n    tree = get_dependency_tree()\n    required_packages = set()\n    for pkg in tree:\n        for dep in pkg.get(""dependencies"", []):\n            required_packages.add(dep[""package_name""])\n\n    system_dirs = [""/0Library/"", ""/System/"", ""/Applications/Xcode.app/""]\n    skip_packages = {""pip"", ""setuptools"", ""wheel"", ""pipdeptree""}\n\n    classified = {}\n    for pkg, data in installed_packages.items():\n        pkg_path = data.get(""location"", """")\n        is_system = any(pkg_path.startswith(sd) for sd in system_dirs) or pkg in skip_packages\n        used_by = ""system (do not remove)"" if is_system else (""application"" if pkg not in required_packages else ""required by another package"")\n        classified[pkg] = {\n            ""version"": data[""version""],\n            ""used_by"": used_by,\n            ""system"": is_system\n        }\n    return classified",1
84,"def get_installed_packages():\n    """"""Get all installed packages with pip as a dict: {name: version}""""""\n    result = subprocess.run(\n        [""python3"", ""-m"", ""pip"", ""list"", ""--format=json""],\n        capture_output=True,\n        text=True,\n        check=True\n    )\n    packages = json.loads(result.stdout)\n    return {pkg[""name""]: pkg[""version""] for pkg in packages}",0
